,,,,,,reported,,,calculated,,calculated,,reported,calculated,,,,,,,,,,,,,,,,,,,,,,
StudyID,EstimateID,Title,comment,Author(s),PubDate,TS_PA_EffSize,bp_PA_EffSize,EffSizeSE,t,k,df,t_CorCoef,rep_CorCoef,CorCoefCorrected,CorCoefSE,Zr,ZrSE,ZrVar,ParSex,Par_SS,OffSex,Off_SS,n_obs,Species,SpermProdSeason,Phylogeny,Tissue,MethFact,OffAgeTL,W_B_PEff,EnvEff,EnvCond,MF_ID,StatM,z_transfTL,LinQuadEff
36,135,Leukocyte Telomere Length in Newborns: Implications for the Role of Telomeres in Human Disease,Table 3,"Factor-Litvak et al., 2016",2016-04-01,,5,8.0000,0.625,9,970,0.020,,0.02007,0.0319963,,,,F,490,Both,490,979,Homo sapiens,Continuous,Homo_sapiens,Leucocytes,TRFSouthern,Juvenile,Neither,No,Human,No,Regression,No,Linear
37,136,Prenatal Air Pollution and Newborns' Predisposition to Accelerated Biological Aging,"Cord blood telomere length PAC + eTable 1 + ""Models were adjusted for ... maternal age, paternal age, ...""","Martens et al., 2017",2017-12-01,0.24,,0.2041,1.176,21,620,0.047,,0.04721,0.0395021,,,,M,641,Both,641,641,Homo sapiens,Continuous,Homo_sapiens,Leucocytes,qPCR,Juvenile,Neither,Yes,Human,No,Regression,No,None
37,137,Prenatal Air Pollution and Newborns' Predisposition to Accelerated Biological Aging,Cord blood telomere length MAC + eTable 1,"Martens et al., 2017",2017-12-01,-0.06,,0.2500,-0.240,21,620,-0.010,,-0.00965,0.0395867,,,,F,641,Both,641,641,Homo sapiens,Continuous,Homo_sapiens,Leucocytes,qPCR,Juvenile,Neither,Yes,Human,No,Regression,No,Linear
38,138,Early life growth and adult telomere length in a Filipino cohort study,table 2,"Masterson et al., 2019",2019-08-05,0.002,,0.0005,3.920,2,1560,0.099,,0.09879,0.0250794,,,,M,1562,Both,1562,1562,Homo sapiens,Continuous,Homo_sapiens,Leucocytes,qPCR,Adult,Neither,No,Human,No,Regression,No,Linear
38,139,Early life growth and adult telomere length in a Filipino cohort study,table 2,"Masterson et al., 2019",2019-08-05,0.003,,0.0005,5.880,2,1560,0.147,,0.14730,0.0247771,,,,F,1562,Both,1562,1562,Homo sapiens,Continuous,Homo_sapiens,Leucocytes,qPCR,Adult,Neither,No,Human,No,Regression,No,Linear
38,140,Early life growth and adult telomere length in a Filipino cohort study,"table 3, 2b","Masterson et al., 2019",2019-08-05,0.003,,0.0005,5.880,6,1556,0.147,,0.14748,0.0247757,,,,M,1562,Both,1562,1562,Homo sapiens,Continuous,Homo_sapiens,Leucocytes,qPCR,Adult,Neither,Yes,Human,No,Regression,No,Linear
38,141,Early life growth and adult telomere length in a Filipino cohort study,"table 3, 2b","Masterson et al., 2019",2019-08-05,0.002,,0.0005,3.920,6,1556,0.099,,0.09892,0.0250788,,,,F,1562,Both,1562,1562,Homo sapiens,Continuous,Homo_sapiens,Leucocytes,qPCR,Adult,Neither,Yes,Human,No,Regression,No,Linear
39,142,Higher maternal vitamin D concentrations are associated with longer leukocyte telomeres in newborns,Table 2,"Kim et al., 2018",2017-06-09,,,,,,,,0.130,0.13063,0.0968516,,,,F,106,Both,106,106,Homo sapiens,Continuous,Homo_sapiens,Leucocytes,qPCR,Juvenile,Neither,No,Human,No,Correlation,No,Linear
40,141,How does maternal age influence reproductive performance and offspring phenotype in the snow petrel (Pagodroma nivea)?,from S Dupont,"Dupont et al., 2023",2023-10-13,,-0.02708,0.0302,-0.897,5,18,-0.207,,-0.21202,0.2135552,,,,F,23,Both,23,23,Pagodroma nivea,Seasonal,Pagodroma_nivea,Erythrocytes,TRFSouthern,Juvenile,Neither,No,Wild,No,Regression,No,Linear
41,142,Delayed paternal age of reproduction in humans is associated with longer telomeres across two generations of descendants,"Paternal age effect on offspring: ""longer TL was predicted by older paternal age at reproduction in both the offspring cohort (Table 1, model 1, n = 1,681, P = 4.00 × 10^−5)""","Eisenberg et al., 2012",2012-06-26,0.0027,,0.0190,0.142,4,1677,0.0035,,0.00347,0.0244117,,,,M,NA,Both,1681,1681,Homo sapiens,Continuous,Homo_sapiens,Leucocytes,qPCR,Adult,Neither,No,Human,No,Regression,No,Linear
41,143,Delayed paternal age of reproduction in humans is associated with longer telomeres across two generations of descendants,"Paternal age effect on mothers: “longer TL was predicted by older paternal age at reproduction in both the offspring cohort ... and their mothers (Table 2, model 1, n = 342, P = 0.003)”","Eisenberg et al., 2012",2012-06-26,0.0032,,0.0257,0.125,3,339,0.0068,,0.00678,0.0543100,,,,M,NA,F,342,342,Homo sapiens,Continuous,Homo_sapiens,Leucocytes,qPCR,Adult,Neither,No,Human,No,Regression,No,Linear
42,144,Reduced Fetal Telomere Length in Gestational Diabetes,"“Fetal telomere length was not significantly correlated with maternal age in normal pregnancy (R = 0.081, P = 0.532) ...","Xu et al., 2014",2014-01-22,,,,,,,,0.081,0.08120,0.0695524,,,,F,207,Both,207,207,Homo sapiens,Continuous,Homo_sapiens,Leucocytes,qPCR,Juvenile,Neither,No,Human,No,,,
42,145,Reduced Fetal Telomere Length in Gestational Diabetes,"“Fetal telomere length was not significantly correlated with maternal age in ... GDM (R = 0.058, P = 0.606)","Xu et al., 2014",2014-01-22,,,,,,,,0.058,0.05814,0.0697773,,,,F,207,Both,207,207,Homo sapiens,Continuous,Homo_sapiens,Leucocytes,qPCR,Juvenile,Neither,Yes,Human,No,,,
42,146,Reduced Fetal Telomere Length in Gestational Diabetes,"“Fetal telomere length was not significantly correlated with maternal age in ... gestational hypertension (R = 0.132, P = 0.652)","Xu et al., 2014",2014-01-22,,,,,,,,0.132,0.13232,0.0687882,,,,F,207,Both,207,207,Homo sapiens,Continuous,Homo_sapiens,Leucocytes,qPCR,Juvenile,Neither,Yes,Human,No,,,
42,147,Reduced Fetal Telomere Length in Gestational Diabetes,"“Fetal telomere length was not significantly correlated with maternal age in ... preeclampsia (R = 0.017, P = 0.923)","Xu et al., 2014",2014-01-22,,,,,,,,0.017,0.01704,0.0699937,,,,F,207,Both,207,207,Homo sapiens,Continuous,Homo_sapiens,Leucocytes,qPCR,Juvenile,Neither,Yes,Human,No,,,
42,148,Reduced Fetal Telomere Length in Gestational Diabetes,"“Fetal telomere length was not significantly correlated with maternal age in ... or all subjects (R = 0.029, P = 0.684).”","Xu et al., 2014",2014-01-22,,,,,,,,0.029,0.02907,0.0699548,,,,F,207,Both,207,207,Homo sapiens,Continuous,Homo_sapiens,Leucocytes,qPCR,Juvenile,Neither,Yes,Human,No,,,
43,149,WGS-based telomere length analysis in Dutch family trios implicates stronger maternal inheritance and a role for RRM1 gene,fig 2A,"Nersisyan et al., 2019",2019-12-10,,,,,,,,-0.0639,-0.06395,0.0364873,,,,M,NA,Both,748,748,Homo sapiens,Continuous,Homo_sapiens,Leucocytes,WGS,Juvenile,Neither,No,Human,No,,No,
43,150,WGS-based telomere length analysis in Dutch family trios implicates stronger maternal inheritance and a role for RRM1 gene,fig 2A,"Nersisyan et al., 2019",2019-12-10,,,,,,,,0.1924,0.19252,0.0352792,,,,F,NA,Both,748,748,Homo sapiens,Continuous,Homo_sapiens,Leucocytes,WGS,Juvenile,Neither,No,Human,No,,No,
