,,,,,,reported,,,calculated,,calculated,,reported,calculated,,,,,,,,,,,,,,,,,,,,,,
StudyID,EstimateID,Title,comment,Author(s),PubDate,TS_PA_EffSize,bp_PA_EffSize,EffSizeSE,t,k,df,t_CorCoef,rep_CorCoef,CorCoefCorrected,CorCoefSE,Zr,ZrSE,ZrVar,ParSex,Par_SS,OffSex,Off_SS,n_obs,Species,SpermProdSeason,Phylogeny,Tissue,MethFact,OffAgeTL,W_B_PEff,EnvEff,EnvCond,MF_ID,StatM,z_transfTL,LinQuadEff
5,33,Sex Differences in Sand Lizard Telomere Inheritance: Paternal Epigenetic Effects Increases Telomere Heritability and Offspring Survival,Figure 4,"Olsson et al., 2011",2011-04-22,,,,,,,,-0.590,-0.61404,0.2076521,,,,M,40,M,12,12,Lacerta agilis,Seasonal,Lacerta_agilis,Erythrocytes,TRFSouthern,Adult,Neither,No,Wild,Yes,Correlation,No,None
6,34,"Sperm telomere length is associated with sperm nuclear DNA integrity and mitochondrial DNA abnormalities among healthy male college students in Chongqing, China",Figure 3c,"Ling et al., 2023",2023-04-05,,,,,,,,0.1270,0.12714,0.0468493,,,,M,NA,M,444,444,Homo sapiens,Continuous,Homo_sapiens,Sperm,qPCR,Adult,Neither,No,Human,No,Correlation,No,Linear
6,35,"Sperm telomere length is associated with sperm nuclear DNA integrity and mitochondrial DNA abnormalities among healthy male college students in Chongqing, China",Figure 3d,"Ling et al., 2023",2023-04-05,,,,,,,,0.076,0.07609,0.0473434,,,,F,NA,M,444,444,Homo sapiens,Continuous,Homo_sapiens,Sperm,qPCR,Adult,Neither,No,Human,No,Correlation,No,Linear
7,36,Older paternal ages and grandpaternal ages at conception predict longer telomeres in human descendants,table 2,"Eisenberg et al., 2019",2019-05-23,0.014,,0.0034,4.098,4,1734,0.098,,0.09798,0.0237772,,,,M,NA,Both,1738,1738,Homo sapiens,Continuous,Homo_sapiens,Leucocytes,qPCR,Adult,Neither,No,Human,No,Regression,Yes,Linear
7,37,Older paternal ages and grandpaternal ages at conception predict longer telomeres in human descendants,table 2,"Eisenberg et al., 2019",2019-05-23,0.019,,0.0042,4.564,2,911,0.150,,0.14959,0.0324078,,,,M,NA,F,913,913,Homo sapiens,Continuous,Homo_sapiens,Leucocytes,qPCR,Adult,Neither,No,Human,No,Regression,Yes,Linear
7,38,Older paternal ages and grandpaternal ages at conception predict longer telomeres in human descendants,table 2,"Eisenberg et al., 2019",2019-05-23,0.003,,0.0044,0.681,2,629,0.027,,0.02715,0.0398749,,,,M,NA,M,631,631,Homo sapiens,Continuous,Homo_sapiens,Leucocytes,qPCR,Adult,Neither,No,Human,No,Regression,Yes,Linear
8,39,Reduced telomere length in offspring of old fathers in a long-lived seabird,Table S1,"Bouwhuis et al., 2018",2018-06-13,,-35,15.0000,-2.333,4,138,-0.195,,-0.19550,0.0815771,,,,M,58,Both,142,142,Sterna hirundo,Seasonal,Sterna_hirundo,Erythrocytes,TRFInGel,Juvenile,Neither,No,Wild,Yes,Regression,No,Linear
8,40,Reduced telomere length in offspring of old fathers in a long-lived seabird,Table S1,"Bouwhuis et al., 2018",2018-06-13,,-15,16.0000,-0.938,4,125,-0.084,,-0.08389,0.0884601,,,,F,52,Both,129,129,Sterna hirundo,Seasonal,Sterna_hirundo,Erythrocytes,TRFInGel,Juvenile,Neither,No,Wild,Yes,Regression,No,Linear
9,41,Parental age influences offspring telomere loss,Table 1,"Heidinger et al., 2016",2015-12-16,-0.012,,0.0060,-2.000,8,145,-0.164,,-0.16438,0.0794434,,,,M,80,Both,153,153,Gulosus aristotelis,Seasonal,Gulosus_aristotelis,Erythrocytes,qPCR,Juvenile,Neither,No,Wild,Yes,Regression,No,Linear
9,42,Parental age influences offspring telomere loss,Table 1,"Heidinger et al., 2016",2015-12-16,-0.017,,0.0080,-2.125,8,116,-0.194,,-0.19435,0.0874754,,,,F,64,Both,124,124,Gulosus aristotelis,Seasonal,Gulosus_aristotelis,Erythrocytes,qPCR,Juvenile,Neither,No,Wild,Yes,Regression,No,Linear
10,43,Parental age and offspring leukocyte telomere length and attrition in midlife: Evidence from the 1946 British birth cohort,"Table 2, model 3, Full sample","Wulaningsih et al., 2018",2018-09-15,,29.43,10.1071,2.912,8,2154,0.063,,0.06263,0.0214371,,,,M,NA,Both,2162,2162,Homo sapiens,Continuous,Homo_sapiens,Leucocytes,qPCR,Adult,Neither,No,Human,No,Regression,No,Linear
10,44,Parental age and offspring leukocyte telomere length and attrition in midlife: Evidence from the 1946 British birth cohort,"Table 2, model 3, Full sample","Wulaningsih et al., 2018",2018-09-15,,-20.942,11.8398,-1.769,8,2154,-0.038,,-0.03809,0.0214903,,,,F,NA,Both,2162,2162,Homo sapiens,Continuous,Homo_sapiens,Leucocytes,qPCR,Adult,Neither,No,Human,No,Regression,No,Linear
11,45,Decreasing initial telomere length in humans intergenerationally understates age-associated telomere shortening,Table 1; uk twins,"Holohan et al., 2015",2015-05-07,,13.39,1.9133,6.999,3,2707,0.133,,0.13334,0.0188784,,,,M,NA,Both,2710,2710,Homo sapiens,Continuous,Homo_sapiens,Leucocytes,TRFSouthern,Adult,Neither,No,Human,No,Regression,No,Linear
